"id" "cell"
"cg25493276" "cg25493276" "Endothelium"
"cg27135915" "cg27135915" "Endothelium"
"cg12050271" "cg12050271" "Endothelium"
"cg07587771" "cg07587771" "Endothelium"
"cg01812919" "cg01812919" "Endothelium"
"cg16394952" "cg16394952" "Endothelium"
"cg13443768" "cg13443768" "Endothelium"
"cg09722236" "cg09722236" "Endothelium"
"cg10351740" "cg10351740" "Endothelium"
"cg07028598" "cg07028598" "Endothelium"
"cg10292949" "cg10292949" "Endothelium"
"cg22700822" "cg22700822" "Endothelium"
"cg14894216" "cg14894216" "Endothelium"
"cg26866168" "cg26866168" "Endothelium"
"cg14700524" "cg14700524" "Endothelium"
"cg21210220" "cg21210220" "Endothelium"
"cg22427797" "cg22427797" "Endothelium"
"cg09959684" "cg09959684" "Endothelium"
"cg12009516" "cg12009516" "Endothelium"
"cg07593390" "cg07593390" "Endothelium"
"cg16157895" "cg16157895" "Endothelium"
"cg18332213" "cg18332213" "Endothelium"
"cg22706992" "cg22706992" "Endothelium"
"cg19531604" "cg19531604" "Endothelium"
"cg20332679" "cg20332679" "Endothelium"
"cg27551227" "cg27551227" "Endothelium"
"cg10083218" "cg10083218" "Endothelium"
"cg16514113" "cg16514113" "Endothelium"
"cg18047353" "cg18047353" "Endothelium"
"cg07234437" "cg07234437" "Endothelium"
"cg22625752" "cg22625752" "Endothelium"
"cg20596724" "cg20596724" "Endothelium"
"cg26692873" "cg26692873" "Endothelium"
"cg17443753" "cg17443753" "Endothelium"
"cg22987614" "cg22987614" "Endothelium"
"cg20847701" "cg20847701" "Endothelium"
"cg25050397" "cg25050397" "Endothelium"
"cg18811269" "cg18811269" "Endothelium"
"cg27535214" "cg27535214" "Endothelium"
"cg05556461" "cg05556461" "Endothelium"
"cg03290602" "cg03290602" "Endothelium"
"cg11958962" "cg11958962" "Endothelium"
"cg24306422" "cg24306422" "Endothelium"
"cg09568216" "cg09568216" "Endothelium"
"cg21448927" "cg21448927" "Endothelium"
"cg10384570" "cg10384570" "Endothelium"
"cg21593952" "cg21593952" "Endothelium"
"cg20723436" "cg20723436" "Endothelium"
"cg06598982" "cg06598982" "Endothelium"
"cg20054182" "cg20054182" "Endothelium"
"cg06939851" "cg06939851" "Endothelium"
"cg06375328" "cg06375328" "Endothelium"
"cg23741583" "cg23741583" "Endothelium"
"cg16658020" "cg16658020" "Endothelium"
"cg02423185" "cg02423185" "Endothelium"
"cg14160419" "cg14160419" "Endothelium"
"cg19985018" "cg19985018" "Endothelium"
"cg11947262" "cg11947262" "Endothelium"
"cg24313756" "cg24313756" "Endothelium"
"cg19006220" "cg19006220" "Endothelium"
"cg01439753" "cg01439753" "Endothelium"
"cg17981439" "cg17981439" "Endothelium"
"cg12024564" "cg12024564" "Endothelium"
"cg07724623" "cg07724623" "Endothelium"
"cg22338798" "cg22338798" "Endothelium"
"cg12486558" "cg12486558" "Endothelium"
"cg05803853" "cg05803853" "Endothelium"
"cg01216100" "cg01216100" "Endothelium"
"cg06821269" "cg06821269" "Endothelium"
"cg00067588" "cg00067588" "Endothelium"
"cg13274978" "cg13274978" "Endothelium"
"cg16221606" "cg16221606" "Endothelium"
"cg23722274" "cg23722274" "Endothelium"
"cg09745307" "cg09745307" "Endothelium"
"cg20034126" "cg20034126" "Endothelium"
"cg05582310" "cg05582310" "Endothelium"
"cg06903075" "cg06903075" "Endothelium"
"cg04091914" "cg04091914" "Endothelium"
"cg20636559" "cg20636559" "Endothelium"
"cg05571619" "cg05571619" "Endothelium"
"cg24760597" "cg24760597" "Endothelium"
"cg24221853" "cg24221853" "Endothelium"
"cg15744671" "cg15744671" "Endothelium"
"cg13528513" "cg13528513" "Endothelium"
"cg04395377" "cg04395377" "Endothelium"
"cg18438894" "cg18438894" "Endothelium"
"cg19402939" "cg19402939" "Endothelium"
"cg10889792" "cg10889792" "Endothelium"
"cg18920494" "cg18920494" "Endothelium"
"cg19646729" "cg19646729" "Endothelium"
"cg08709827" "cg08709827" "Endothelium"
"cg25220063" "cg25220063" "Endothelium"
"cg23214840" "cg23214840" "Endothelium"
"cg05829696" "cg05829696" "Endothelium"
"cg15789723" "cg15789723" "Endothelium"
"cg15057138" "cg15057138" "Endothelium"
"cg04892672" "cg04892672" "Endothelium"
"cg23325413" "cg23325413" "Endothelium"
"cg23498494" "cg23498494" "Endothelium"
"cg03971808" "cg03971808" "Endothelium"
"cg27510354" "cg27510354" "Endothelium"
"cg16689211" "cg16689211" "Endothelium"
"cg21185662" "cg21185662" "Endothelium"
"cg04986935" "cg04986935" "Endothelium"
"cg07725536" "cg07725536" "Endothelium"
"cg23171103" "cg23171103" "Endothelium"
"cg09420520" "cg09420520" "Endothelium"
"cg11953015" "cg11953015" "Endothelium"
"cg25441879" "cg25441879" "Endothelium"
"cg10580293" "cg10580293" "Endothelium"
"cg20682236" "cg20682236" "Endothelium"
"cg17976390" "cg17976390" "Endothelium"
"cg03337035" "cg03337035" "Endothelium"
"cg10984165" "cg10984165" "Endothelium"
"cg00974685" "cg00974685" "Endothelium"
"cg09088107" "cg09088107" "Endothelium"
"cg02320356" "cg02320356" "Endothelium"
"cg18529010" "cg18529010" "Endothelium"
"cg06121808" "cg06121808" "Endothelium"
"cg25329844" "cg25329844" "Endothelium"
"cg20751345" "cg20751345" "Endothelium"
"cg26084259" "cg26084259" "Endothelium"
"cg25711963" "cg25711963" "Endothelium"
"cg02414981" "cg02414981" "Endothelium"
"cg20454213" "cg20454213" "Endothelium"
"cg11717251" "cg11717251" "Endothelium"
"cg16310077" "cg16310077" "Endothelium"
"cg09323898" "cg09323898" "Endothelium"
"cg15714227" "cg15714227" "Endothelium"
"cg26047127" "cg26047127" "Endothelium"
"cg04558115" "cg04558115" "Endothelium"
"cg14989351" "cg14989351" "Endothelium"
"cg10303698" "cg10303698" "Endothelium"
"cg17425144" "cg17425144" "Endothelium"
"cg09247360" "cg09247360" "Endothelium"
"cg11583287" "cg11583287" "Endothelium"
"cg00947796" "cg00947796" "Endothelium"
"cg15909056" "cg15909056" "Endothelium"
"cg26767389" "cg26767389" "Endothelium"
"cg12510264" "cg12510264" "Endothelium"
"cg14010814" "cg14010814" "Endothelium"
"cg10140126" "cg10140126" "Endothelium"
"cg10479672" "cg10479672" "Endothelium"
"cg17633170" "cg17633170" "Endothelium"
"cg13022402" "cg13022402" "Endothelium"
"cg18940274" "cg18940274" "Endothelium"
"cg02495760" "cg02495760" "Endothelium"
"cg01215651" "cg01215651" "Endothelium"
"cg17479943" "cg17479943" "Endothelium"
"cg03665818" "cg03665818" "Endothelium"
"cg16901323" "cg16901323" "Endothelium"
"cg19911494" "cg19911494" "Endothelium"
"cg02458689" "cg02458689" "Endothelium"
"cg21853568" "cg21853568" "Endothelium"
"cg02019333" "cg02019333" "Endothelium"
"cg23738585" "cg23738585" "Endothelium"
"cg06428196" "cg06428196" "Endothelium"
"cg12546793" "cg12546793" "Endothelium"
"cg20066001" "cg20066001" "Endothelium"
"cg01753209" "cg01753209" "Endothelium"
"cg18824193" "cg18824193" "Endothelium"
"cg14176930" "cg14176930" "Endothelium"
"cg00747241" "cg00747241" "Endothelium"
"cg27471008" "cg27471008" "Endothelium"
"cg24836679" "cg24836679" "Endothelium"
"cg25510838" "cg25510838" "Endothelium"
"cg13734338" "cg13734338" "Endothelium"
"cg07459489" "cg07459489" "Endothelium"
"cg23491807" "cg23491807" "Endothelium"
"cg06234378" "cg06234378" "Endothelium"
"cg14326354" "cg14326354" "Endothelium"
"cg22442211" "cg22442211" "Endothelium"
"cg21577406" "cg21577406" "Endothelium"
"cg11273205" "cg11273205" "Endothelium"
"cg17296595" "cg17296595" "Endothelium"
"cg13026730" "cg13026730" "Endothelium"
"cg25083091" "cg25083091" "Endothelium"
"cg23211310" "cg23211310" "Endothelium"
"cg23206822" "cg23206822" "Endothelium"
"cg10114235" "cg10114235" "Endothelium"
"cg21423741" "cg21423741" "Endothelium"
"cg10981331" "cg10981331" "Endothelium"
"cg04315554" "cg04315554" "Endothelium"
"cg08461899" "cg08461899" "Endothelium"
"cg18794976" "cg18794976" "Endothelium"
"cg02675546" "cg02675546" "Endothelium"
"cg01719904" "cg01719904" "Endothelium"
"cg12969998" "cg12969998" "Endothelium"
"cg10340801" "cg10340801" "Endothelium"
"cg01487195" "cg01487195" "Endothelium"
"cg08908264" "cg08908264" "Endothelium"
"cg03122427" "cg03122427" "Endothelium"
"cg15461663" "cg15461663" "Endothelium"
"cg23381267" "cg23381267" "Endothelium"
"cg13609694" "cg13609694" "Endothelium"
"cg23670372" "cg23670372" "Endothelium"
"cg18153060" "cg18153060" "Endothelium"
"cg07564794" "cg07564794" "Endothelium"
"cg00066919" "cg00066919" "Endothelium"
"cg16586530" "cg16586530" "Endothelium"
"cg04969340" "cg04969340" "Endothelium"
"cg22534687" "cg22534687" "Endothelium"
"cg27094229" "cg27094229" "Endothelium"
"cg23813270" "cg23813270" "Endothelium"
"cg12219390" "cg12219390" "Endothelium"
"cg18073702" "cg18073702" "Endothelium"
"cg13636404" "cg13636404" "Endothelium"
"cg07614190" "cg07614190" "Endothelium"
"cg05712300" "cg05712300" "Endothelium"
"cg15010109" "cg15010109" "Endothelium"
"cg00163510" "cg00163510" "Endothelium"
"cg17552295" "cg17552295" "Endothelium"
"cg06934774" "cg06934774" "Endothelium"
"cg07501070" "cg07501070" "Endothelium"
"cg17779384" "cg17779384" "Endothelium"
"cg23252336" "cg23252336" "Endothelium"
"cg13843483" "cg13843483" "Endothelium"
"cg09961397" "cg09961397" "Endothelium"
"cg02051228" "cg02051228" "Endothelium"
"cg08632095" "cg08632095" "Endothelium"
"cg20441619" "cg20441619" "Endothelium"
"cg08533136" "cg08533136" "Endothelium"
"cg14463465" "cg14463465" "Endothelium"
"cg22275276" "cg22275276" "Endothelium"
"cg04382656" "cg04382656" "Endothelium"
"cg01684233" "cg01684233" "Endothelium"
"cg14138002" "cg14138002" "Endothelium"
"cg14245120" "cg14245120" "Endothelium"
"cg00202389" "cg00202389" "Endothelium"
"cg06294561" "cg06294561" "Endothelium"
"cg24131671" "cg24131671" "Endothelium"
"cg25861692" "cg25861692" "Endothelium"
"cg09373136" "cg09373136" "Endothelium"
"cg21616089" "cg21616089" "Endothelium"
"cg25240964" "cg25240964" "Endothelium"
"cg17387670" "cg17387670" "Endothelium"
"cg00349943" "cg00349943" "Endothelium"
"cg15714692" "cg15714692" "Endothelium"
"cg06019726" "cg06019726" "Endothelium"
"cg05275229" "cg05275229" "Endothelium"
"cg09922604" "cg09922604" "Endothelium"
"cg04870470" "cg04870470" "Endothelium"
"cg18098806" "cg18098806" "Endothelium"
"cg07005640" "cg07005640" "Endothelium"
"cg01576459" "cg01576459" "Endothelium"
"cg23097006" "cg23097006" "Endothelium"
"cg18211014" "cg18211014" "Endothelium"
"cg10365246" "cg10365246" "Endothelium"
"cg23290674" "cg23290674" "Endothelium"
"cg14043104" "cg14043104" "Endothelium"
"cg27078786" "cg27078786" "Endothelium"
"cg19247310" "cg19247310" "Endothelium"
"cg13742289" "cg13742289" "Endothelium"
"cg21562740" "cg21562740" "Endothelium"
"cg06577446" "cg06577446" "Endothelium"
"cg15501942" "cg15501942" "Endothelium"
"cg17861161" "cg17861161" "Endothelium"
"cg01369378" "cg01369378" "Endothelium"
"cg11761535" "cg11761535" "Endothelium"
"cg11331078" "cg11331078" "Endothelium"
"cg11902424" "cg11902424" "Endothelium"
"cg17596577" "cg17596577" "Endothelium"
"cg13971546" "cg13971546" "Endothelium"
"cg24606701" "cg24606701" "Endothelium"
"cg24332770" "cg24332770" "Endothelium"
"cg02497046" "cg02497046" "Endothelium"
"cg08182501" "cg08182501" "Endothelium"
"cg22005336" "cg22005336" "Endothelium"
"cg10553415" "cg10553415" "Endothelium"
"cg00038857" "cg00038857" "Endothelium"
"cg03895540" "cg03895540" "Endothelium"
"cg07724905" "cg07724905" "Endothelium"
"cg04448477" "cg04448477" "Endothelium"
"cg27552584" "cg27552584" "Endothelium"
"cg23406407" "cg23406407" "Endothelium"
"cg09885657" "cg09885657" "Endothelium"
"cg21577365" "cg21577365" "Endothelium"
"cg11191337" "cg11191337" "Endothelium"
"cg15538731" "cg15538731" "Endothelium"
"cg04927725" "cg04927725" "Endothelium"
"cg12427286" "cg12427286" "Endothelium"
"cg07596645" "cg07596645" "Endothelium"
"cg27481499" "cg27481499" "Endothelium"
"cg00538599" "cg00538599" "Endothelium"
"cg05549611" "cg05549611" "Endothelium"
"cg09434085" "cg09434085" "Endothelium"
"cg25761955" "cg25761955" "Endothelium"
"cg23632752" "cg23632752" "Endothelium"
"cg22259765" "cg22259765" "Endothelium"
"cg08895307" "cg08895307" "Endothelium"
"cg01299082" "cg01299082" "Endothelium"
"cg17885794" "cg17885794" "Endothelium"
"cg24045378" "cg24045378" "Endothelium"
"cg17449026" "cg17449026" "Endothelium"
"cg15057670" "cg15057670" "Endothelium"
"cg14188441" "cg14188441" "Endothelium"
"cg09863266" "cg09863266" "Endothelium"
"cg12351310" "cg12351310" "Endothelium"
"cg23172995" "cg23172995" "Endothelium"
"cg26919657" "cg26919657" "Endothelium"
"cg04191300" "cg04191300" "Endothelium"
"cg00078513" "cg00078513" "Endothelium"
"cg27356162" "cg27356162" "Endothelium"
"cg09560465" "cg09560465" "Endothelium"
"cg20717075" "cg20717075" "Endothelium"
"cg02950812" "cg02950812" "Endothelium"
"cg19857925" "cg19857925" "Endothelium"
"cg20634226" "cg20634226" "Endothelium"
"cg05769086" "cg05769086" "Endothelium"
"cg07021275" "cg07021275" "Endothelium"
"cg00106345" "cg00106345" "Endothelium"
"cg05593589" "cg05593589" "Endothelium"
"cg10266681" "cg10266681" "Endothelium"
"cg25968437" "cg25968437" "Endothelium"
"cg20018812" "cg20018812" "Endothelium"
"cg11805311" "cg11805311" "Endothelium"
"cg00350448" "cg00350448" "Endothelium"
"cg13553936" "cg13553936" "Endothelium"
"cg15339075" "cg15339075" "Endothelium"
"cg06869935" "cg06869935" "Endothelium"
"cg21631156" "cg21631156" "Endothelium"
"cg23756494" "cg23756494" "Endothelium"
"cg19615295" "cg19615295" "Endothelium"
"cg10000764" "cg10000764" "Endothelium"
"cg00795825" "cg00795825" "Endothelium"
"cg01033191" "cg01033191" "Endothelium"
"cg15054077" "cg15054077" "Endothelium"
"cg20942429" "cg20942429" "Endothelium"
"cg04896437" "cg04896437" "Endothelium"
"cg11194925" "cg11194925" "Endothelium"
"cg11870561" "cg11870561" "Endothelium"
"cg05750926" "cg05750926" "Endothelium"
"cg20116805" "cg20116805" "Endothelium"
"cg03380198" "cg03380198" "Endothelium"
"cg27511824" "cg27511824" "Endothelium"
"cg21935393" "cg21935393" "Endothelium"
"cg14851701" "cg14851701" "Endothelium"
"cg16136238" "cg16136238" "Endothelium"
"cg16914035" "cg16914035" "Endothelium"
"cg14047370" "cg14047370" "Endothelium"
"cg17896965" "cg17896965" "Endothelium"
"cg07576363" "cg07576363" "Endothelium"
"cg08971217" "cg08971217" "Endothelium"
"cg04336561" "cg04336561" "Endothelium"
"cg11680118" "cg11680118" "Endothelium"
"cg25104107" "cg25104107" "Endothelium"
"cg14008999" "cg14008999" "Endothelium"
"cg26353598" "cg26353598" "Endothelium"
"cg14988628" "cg14988628" "Endothelium"
"cg25024993" "cg25024993" "Endothelium"
"cg20112376" "cg20112376" "Endothelium"
"cg22067069" "cg22067069" "Endothelium"
"cg15991207" "cg15991207" "Endothelium"
"cg01892689" "cg01892689" "Endothelium"
"cg00484206" "cg00484206" "Endothelium"
"cg06580725" "cg06580725" "Endothelium"
"cg03469233" "cg03469233" "Endothelium"
"cg10109421" "cg10109421" "Endothelium"
"cg23450509" "cg23450509" "Endothelium"
"cg18431297" "cg18431297" "Endothelium"
"cg15652873" "cg15652873" "Endothelium"
"cg07816047" "cg07816047" "Endothelium"
"cg04790923" "cg04790923" "Endothelium"
"cg17022548" "cg17022548" "Endothelium"
"cg25290373" "cg25290373" "Endothelium"
"cg24811069" "cg24811069" "Endothelium"
"cg14927321" "cg14927321" "Endothelium"
"cg25399333" "cg25399333" "Endothelium"
"cg07217030" "cg07217030" "Endothelium"
"cg06432426" "cg06432426" "Endothelium"
"cg06576532" "cg06576532" "Endothelium"
"cg10486610" "cg10486610" "Endothelium"
"cg21097378" "cg21097378" "Endothelium"
"cg05218678" "cg05218678" "Endothelium"
"cg21760006" "cg21760006" "Endothelium"
"cg13936847" "cg13936847" "Endothelium"
"cg02275084" "cg02275084" "Endothelium"
"cg10900663" "cg10900663" "Endothelium"
"cg13682333" "cg13682333" "Endothelium"
"cg03075487" "cg03075487" "Endothelium"
"cg02375506" "cg02375506" "Endothelium"
"cg18480432" "cg18480432" "Endothelium"
"cg19815325" "cg19815325" "Endothelium"
"cg03096347" "cg03096347" "Endothelium"
"cg27390009" "cg27390009" "Endothelium"
"cg14033193" "cg14033193" "Endothelium"
"cg15894129" "cg15894129" "Endothelium"
"cg02625222" "cg02625222" "Endothelium"
"cg00800679" "cg00800679" "Endothelium"
"cg06527100" "cg06527100" "Endothelium"
"cg10329468" "cg10329468" "Endothelium"
"cg02684562" "cg02684562" "Endothelium"
"cg24651092" "cg24651092" "Endothelium"
"cg18844163" "cg18844163" "Endothelium"
"cg08714975" "cg08714975" "Endothelium"
"cg19323958" "cg19323958" "Endothelium"
"cg24965356" "cg24965356" "Endothelium"
"cg23577562" "cg23577562" "Endothelium"
"cg24164296" "cg24164296" "Endothelium"
"cg23248051" "cg23248051" "Endothelium"
"cg17233819" "cg17233819" "Endothelium"
"cg11519930" "cg11519930" "Endothelium"
"cg09851528" "cg09851528" "Endothelium"
"cg26644395" "cg26644395" "Endothelium"
"cg23402144" "cg23402144" "Endothelium"
"cg16601094" "cg16601094" "Endothelium"
"cg00294025" "cg00294025" "Endothelium"
"cg06078797" "cg06078797" "Endothelium"
"cg19740240" "cg19740240" "Endothelium"
"cg13634560" "cg13634560" "Endothelium"
"cg27238903" "cg27238903" "Endothelium"
"cg22699462" "cg22699462" "Endothelium"
"cg27331316" "cg27331316" "Endothelium"
"cg10097906" "cg10097906" "Endothelium"
"cg04640920" "cg04640920" "Endothelium"
"cg01825355" "cg01825355" "Endothelium"
"cg11150240" "cg11150240" "Endothelium"
"cg03521077" "cg03521077" "Endothelium"
"cg20844901" "cg20844901" "Endothelium"
"cg02713720" "cg02713720" "Endothelium"
"cg16293983" "cg16293983" "Endothelium"
"cg27614534" "cg27614534" "Endothelium"
"cg15460348" "cg15460348" "Endothelium"
"cg22941409" "cg22941409" "Endothelium"
"cg23256401" "cg23256401" "Endothelium"
"cg01396723" "cg01396723" "Endothelium"
"cg16231394" "cg16231394" "Endothelium"
"cg19704451" "cg19704451" "Endothelium"
"cg05134325" "cg05134325" "Endothelium"
"cg02584161" "cg02584161" "Endothelium"
"cg08072933" "cg08072933" "Endothelium"
"cg06515562" "cg06515562" "Endothelium"
"cg04199533" "cg04199533" "Endothelium"
"cg07441953" "cg07441953" "Endothelium"
"cg01487468" "cg01487468" "Endothelium"
"cg05278204" "cg05278204" "Endothelium"
"cg18516397" "cg18516397" "Endothelium"
"cg27539480" "cg27539480" "Endothelium"
"cg14843129" "cg14843129" "Endothelium"
"cg24590723" "cg24590723" "Endothelium"
"cg18597220" "cg18597220" "Endothelium"
"cg06080026" "cg06080026" "Endothelium"
"cg09757430" "cg09757430" "Endothelium"
"cg10796931" "cg10796931" "Endothelium"
"cg01258031" "cg01258031" "Endothelium"
"cg14181271" "cg14181271" "Endothelium"
"cg26542962" "cg26542962" "Endothelium"
"cg02072532" "cg02072532" "Endothelium"
"cg03372385" "cg03372385" "Endothelium"
"cg00382138" "cg00382138" "Endothelium"
"cg26960322" "cg26960322" "Endothelium"
"cg21503202" "cg21503202" "Endothelium"
"cg06716419" "cg06716419" "Endothelium"
"cg05938889" "cg05938889" "Endothelium"
"cg16441900" "cg16441900" "Endothelium"
"cg25769347" "cg25769347" "Endothelium"
"cg16052901" "cg16052901" "Endothelium"
"cg03986017" "cg03986017" "Endothelium"
"cg15595212" "cg15595212" "Endothelium"
"cg08155325" "cg08155325" "Endothelium"
"cg26507427" "cg26507427" "Endothelium"
"cg07804888" "cg07804888" "Endothelium"
"cg14014955" "cg14014955" "Endothelium"
"cg18473903" "cg18473903" "Endothelium"
"cg23668907" "cg23668907" "Endothelium"
"cg04033857" "cg04033857" "Endothelium"
"cg21425296" "cg21425296" "Endothelium"
"cg08973217" "cg08973217" "Endothelium"
"cg23235067" "cg23235067" "Endothelium"
"cg14479377" "cg14479377" "Endothelium"
"cg14569380" "cg14569380" "Endothelium"
"cg27111925" "cg27111925" "Endothelium"
"cg15030415" "cg15030415" "Endothelium"
"cg16679297" "cg16679297" "Endothelium"
"cg19264203" "cg19264203" "Endothelium"
"cg15485378" "cg15485378" "Endothelium"
"cg20633478" "cg20633478" "Endothelium"
"cg10850823" "cg10850823" "Endothelium"
"cg06585690" "cg06585690" "Endothelium"
"cg19828537" "cg19828537" "Endothelium"
"cg15980076" "cg15980076" "Endothelium"
"cg13973849" "cg13973849" "Endothelium"
"cg18862137" "cg18862137" "Endothelium"
"cg04841983" "cg04841983" "Endothelium"
"cg15329510" "cg15329510" "Endothelium"
"cg06044468" "cg06044468" "Endothelium"
"cg10116636" "cg10116636" "Endothelium"
"cg06459913" "cg06459913" "Endothelium"
"cg12813192" "cg12813192" "Endothelium"
"cg02992224" "cg02992224" "Endothelium"
"cg06085038" "cg06085038" "Endothelium"
"cg05014245" "cg05014245" "Endothelium"
"cg05934984" "cg05934984" "Endothelium"
"cg20258934" "cg20258934" "Endothelium"
"cg24032156" "cg24032156" "Endothelium"
"cg09403480" "cg09403480" "Endothelium"
"cg19860159" "cg19860159" "Endothelium"
"cg05653385" "cg05653385" "Endothelium"
"cg09450024" "cg09450024" "Endothelium"
"cg20234205" "cg20234205" "Endothelium"
"cg18410945" "cg18410945" "Endothelium"
"cg01922580" "cg01922580" "Endothelium"
"cg27565517" "cg27565517" "Endothelium"
"cg06494356" "cg06494356" "Endothelium"
"cg02676476" "cg02676476" "Endothelium"
"cg05202985" "cg05202985" "Endothelium"
"cg01118868" "cg01118868" "Endothelium"
"cg14824266" "cg14824266" "Endothelium"
"cg19189176" "cg19189176" "Endothelium"
"cg00767201" "cg00767201" "Endothelium"
"cg06719901" "cg06719901" "Endothelium"
"cg09623018" "cg09623018" "Endothelium"
"cg02023717" "cg02023717" "Endothelium"
"cg01029637" "cg01029637" "Endothelium"
"cg10576499" "cg10576499" "Endothelium"
"cg07325539" "cg07325539" "Endothelium"
"cg21757921" "cg21757921" "Endothelium"
"cg13524880" "cg13524880" "Endothelium"
"cg13340813" "cg13340813" "Endothelium"
"cg01022611" "cg01022611" "Endothelium"
"cg03125765" "cg03125765" "Endothelium"
"cg16487297" "cg16487297" "Endothelium"
"cg21768418" "cg21768418" "Endothelium"
"cg17882587" "cg17882587" "Endothelium"
"cg27563423" "cg27563423" "Endothelium"
"cg00269615" "cg00269615" "Endothelium"
"cg16239218" "cg16239218" "Endothelium"
"cg15176839" "cg15176839" "Endothelium"
"cg01988602" "cg01988602" "Endothelium"
"cg27326127" "cg27326127" "Endothelium"
"cg04807108" "cg04807108" "Endothelium"
"cg24034755" "cg24034755" "Endothelium"
"cg19942383" "cg19942383" "Endothelium"
"cg05772125" "cg05772125" "Endothelium"
"cg19979108" "cg19979108" "Endothelium"
"cg16016188" "cg16016188" "Endothelium"
"cg05579030" "cg05579030" "Endothelium"
"cg11987959" "cg11987959" "Endothelium"
"cg21875401" "cg21875401" "Endothelium"
"cg07284476" "cg07284476" "Endothelium"
"cg08640046" "cg08640046" "Endothelium"
"cg03407631" "cg03407631" "Endothelium"
"cg09808501" "cg09808501" "Endothelium"
"cg10372721" "cg10372721" "Endothelium"
"cg16713357" "cg16713357" "Endothelium"
"cg27281191" "cg27281191" "Endothelium"
"cg22662182" "cg22662182" "Endothelium"
"cg10493454" "cg10493454" "Endothelium"
"cg12411994" "cg12411994" "Endothelium"
"cg06654510" "cg06654510" "Endothelium"
"cg03996539" "cg03996539" "Endothelium"
"cg03211132" "cg03211132" "Endothelium"
"cg26279261" "cg26279261" "Endothelium"
"cg16958148" "cg16958148" "Endothelium"
"cg10592171" "cg10592171" "Endothelium"
"cg06171420" "cg06171420" "Endothelium"
"cg13869366" "cg13869366" "Endothelium"
"cg21044933" "cg21044933" "Endothelium"
"cg06765475" "cg06765475" "Endothelium"
"cg11134430" "cg11134430" "Endothelium"
"cg23194295" "cg23194295" "Endothelium"
"cg02412346" "cg02412346" "Endothelium"
"cg26788216" "cg26788216" "Endothelium"
"cg05020759" "cg05020759" "Endothelium"
"cg27416171" "cg27416171" "Endothelium"
"cg13455326" "cg13455326" "Endothelium"
"cg14600041" "cg14600041" "Endothelium"
"cg19315261" "cg19315261" "Endothelium"
"cg00705992" "cg00705992" "Endothelium"
"cg27340796" "cg27340796" "Endothelium"
"cg04930848" "cg04930848" "Endothelium"
"cg07699351" "cg07699351" "Endothelium"
"cg16210461" "cg16210461" "Endothelium"
"cg04060366" "cg04060366" "Endothelium"
"cg18975804" "cg18975804" "Endothelium"
"cg22508782" "cg22508782" "Endothelium"
"cg06501790" "cg06501790" "Endothelium"
"cg17583256" "cg17583256" "Endothelium"
"cg25079100" "cg25079100" "Endothelium"
"cg24954977" "cg24954977" "Endothelium"
"cg09143012" "cg09143012" "Endothelium"
"cg00981928" "cg00981928" "Endothelium"
"cg12950829" "cg12950829" "Endothelium"
"cg12219638" "cg12219638" "Endothelium"
"cg13312094" "cg13312094" "Endothelium"
"cg09261794" "cg09261794" "Endothelium"
"cg22105545" "cg22105545" "Endothelium"
"cg19508823" "cg19508823" "Endothelium"
"cg19645299" "cg19645299" "Endothelium"
"cg22626866" "cg22626866" "Endothelium"
"cg07757611" "cg07757611" "Endothelium"
"cg02467451" "cg02467451" "Endothelium"
"cg24328944" "cg24328944" "Endothelium"
"cg06566239" "cg06566239" "Endothelium"
"cg11726150" "cg11726150" "Endothelium"
"cg13814349" "cg13814349" "Endothelium"
"cg24935135" "cg24935135" "Endothelium"
"cg15448990" "cg15448990" "Endothelium"
"cg19625237" "cg19625237" "Endothelium"
"cg18373365" "cg18373365" "Endothelium"
"cg12633918" "cg12633918" "Endothelium"
"cg23336143" "cg23336143" "Endothelium"
"cg24527466" "cg24527466" "Endothelium"
"cg24849956" "cg24849956" "Endothelium"
"cg04250181" "cg04250181" "Endothelium"
"cg04402078" "cg04402078" "Endothelium"
"cg26548883" "cg26548883" "Endothelium"
"cg06082596" "cg06082596" "Endothelium"
"cg27235315" "cg27235315" "Endothelium"
"cg07416364" "cg07416364" "Endothelium"
"cg08336938" "cg08336938" "Endothelium"
"cg01152727" "cg01152727" "Endothelium"
"cg04547393" "cg04547393" "Endothelium"
"cg20078972" "cg20078972" "Endothelium"
"cg22354175" "cg22354175" "Endothelium"
"cg17879116" "cg17879116" "Endothelium"
"cg27057408" "cg27057408" "Endothelium"
"cg09728985" "cg09728985" "Endothelium"
"cg11855741" "cg11855741" "Endothelium"
"cg15150017" "cg15150017" "Endothelium"
"cg01682285" "cg01682285" "Endothelium"
"cg25021297" "cg25021297" "Endothelium"
"cg16911872" "cg16911872" "Endothelium"
"cg22880957" "cg22880957" "Endothelium"
"cg14541582" "cg14541582" "Endothelium"
"cg00978051" "cg00978051" "Endothelium"
"cg12220426" "cg12220426" "Endothelium"
"cg20097984" "cg20097984" "Endothelium"
"cg05218035" "cg05218035" "Endothelium"
"cg26706676" "cg26706676" "Endothelium"
"cg15300348" "cg15300348" "Endothelium"
"cg26131670" "cg26131670" "Endothelium"
"cg08175352" "cg08175352" "Endothelium"
"cg00351750" "cg00351750" "Endothelium"
"cg16670245" "cg16670245" "Endothelium"
"cg09942743" "cg09942743" "Endothelium"
